企業名,業種,地域,デジタル活用度,予算感
Chanoyu Cafe,飲食・カフェ,Surfers Paradise,Instagram有・サイトなし,低〜中（$500-1500）
Shiro Gelato（Kei Okamoto）,飲食・スイーツ,Broadbeach,Instagram有・Googleマップのみ,低〜中（$500-1500）
Izakaya YOU,飲食・居酒屋,Surfers Paradise,FacebookとGoogle有・サイト旧式,中（$1000-2500）
Coco De Nail,美容・ネイル,Surfers Paradise,Instagram有・サイトなし,低〜中（$500-1500）
One Eighty,フィットネス,Burleigh Heads,Instagram有・サイトあり（旧式）,中〜高（$2000-5000）
Sakura Beauty Salon,美容・エステ,Broadbeach,Instagram有・サイトなし,低（$300-1000）
Hanami Japanese Restaurant,飲食・レストラン,Gold Coast CBD,Googleマップのみ,中（$1000-2500）
Zen Sushi Bar,飲食・寿司,Coolangatta,Instagram有・サイトなし,低〜中（$500-1500）
Tokyo Ramen Gold Coast,飲食・ラーメン,Surfers Paradise,Instagram有・Facebookあり,低〜中（$500-1500）
Miku Nails & Beauty,美容・ネイル,Miami,Instagram中心・サイトなし,低（$300-1000）
Gold Coast Japanese School,教育,Robina,Webサイトあり（旧式）・SNS弱,中（$1000-2500）
Yuki Fitness Studio,フィットネス,Bundall,Instagram有・サイトなし,中（$1000-2500）
Aloha Surf Lessons（日系運営）,レジャー・サーフ,Palm Beach,Instagram有・Googleのみ,低〜中（$500-1500）
Kana Yoga & Wellness,フィットネス・ウェルネス,Burleigh Heads,Instagram有・サイトなし,低〜中（$500-1500）
Hana Flower Studio,小売・フラワー,Nerang,Facebook有・Instagram有・サイトなし,低（$300-1000）
Minato Japanese Grocer,小売・食材,Southport,Googleマップのみ,低〜中（$500-1500）
JM Real Estate（日系担当者）,不動産,Gold Coast CBD,企業サイト有（個人ページなし）,高（$3000-8000）
Tanaka Photography,個人・フォト,Surfers Paradise,Instagram強・サイトなし,低〜中（$500-1500）
Rei Personal Trainer,個人・フィットネス,Broadbeach,Instagram有・サイトなし,低（$300-1000）
Yuna Hair & Makeup Artist,個人・美容,Robina,Instagram中心・サイトなし,低（$300-1000）