企業名,業種,地域,Instagram保有,Webサイト有無,サイト更新頻度,予算感
Chanoyu Cafe,飲食・カフェ,Surfers Paradise,あり,なし,N/A,中
Shiro Gelato (Kei Okamoto),飲食・スイーツ,Broadbeach,あり,なし,N/A,中
Izakaya YOU,飲食・居酒屋,Surfers Paradise,あり,あり（古い）,2年以上更新なし,中〜高
Coco De Nail,美容・ネイル,Surfers Paradise,あり,なし,N/A,低〜中
One Eighty,フィットネス,Mermaid Beach,あり,あり（古い）,1年以上更新なし,中〜高
Ryu Japanese Restaurant,飲食・レストラン,Broadbeach,あり,あり（古い）,1年以上更新なし,中
Sakura Beauty,美容・まつ毛,Gold Coast CBD,あり,なし,N/A,低〜中
Gold Coast Japanese Tutoring,教育・個人,Robina,なし,なし,N/A,低
Nails by Yuki（個人ネイリスト）,個人ビジネス・ネイル,Burleigh Heads,あり,なし,N/A,低
PT Kenji（パーソナルトレーナー）,個人ビジネス・フィットネス,Miami,あり,なし,N/A,低
Hana Japanese Catering,飲食・ケータリング,Palm Beach,あり,なし,N/A,低〜中
Zen Pilates GC,フィットネス・ピラティス,Varsity Lakes,あり,あり（古い）,2年以上更新なし,中
Kokoro Massage,美容・マッサージ,Southport,あり,なし,N/A,低〜中
Mochi Sweets GC,飲食・スイーツ,Burleigh Heads,あり,なし,N/A,低〜中
GC Japanese Grocery,小売・食材,Nerang,なし,なし,N/A,低
Taro's Fish & Chips（日系）,飲食・テイクアウト,Currumbin,あり,あり（古い）,3年以上更新なし,低〜中
Aki Hair Salon,美容・ヘアサロン,Surfers Paradise,あり,なし,N/A,低〜中
Nippon Auto GC,小売・自動車,Molendinar,なし,あり（古い）,2年以上更新なし,中〜高
Yoshi Photography,個人ビジネス・写真,Mermaid Beach,あり,あり（古い）,1年以上更新なし,低〜中
Kaito Surf Lessons,個人ビジネス・サーフ,Coolangatta,あり,なし,N/A,低